"Gemeenten";"Aantal personenauto's per 1 januari|2017";"Aantal personenauto's per 1 januari|2018";"Aantal personenauto's per 1 januari|2019";"Aantal personenauto's per 1 januari|2020";"Aantal personenauto's per 1 januari|2021";"Aantal bedrijfsauto's per 1 januari|2017";"Aantal bedrijfsauto's per 1 januari|2018";"Aantal bedrijfsauto's per 1 januari|2019";"Aantal bedrijfsauto's per 1 januari|2020";"Aantal bedrijfsauto's per 1 januari|2021"
"Aa en Hunze";14180;14410;14418;14645;14989;1916;1980;1969;2039;2067
"Aalsmeer";16545;16805;16796;16953;16960;2219;2305;2375;2381;2334
"Aalten";13695;13945;14034;14289;14480;1774;1854;1855;1909;1955
"Achtkarspelen";14395;14610;14506;14738;14916;2614;2753;2779;2828;2884
"Alblasserdam";8920;9050;8981;9162;9284;1486;1552;1574;1585;1646
"Albrandswaard";12200;12400;12495;12700;12782;1079;1075;1002;1075;1126
"Alkmaar";47755;48475;48674;49458;56049;6187;6417;6361;6501;7560
"Almelo";32895;33545;33922;34568;35241;4392;4499;4585;4584;4474
"Almere";243390;254095;270057;271958;261231;32765;34238;35892;34178;33572
"Alphen aan den Rijn";50255;51230;52259;53393;54126;6796;6939;7216;7327;7412
"Alphen-Chaam";5995;6075;6009;6113;6290;929;932;972;1017;1031
"Altena";27980;28610;28916;29501;30051;5407;5620;5754;5875;5999
"Ameland";1760;1795;1824;1884;1937;413;426;440;456;466
"Amersfoort";99585;102990;108149;116234;118618;14565;15398;16510;18412;18007
"Amstelveen";38235;37765;37709;37835;37634;1931;1939;1932;1981;1989
"Amsterdam";241580;242315;239921;242831;246208;24656;24889;24298;24472;24389
"Apeldoorn";79815;81340;81139;82421;83782;9975;10349;10310;10393;10519
"Arnhem";63195;64500;64372;65583;67125;5800;5979;5786;5911;5848
"Assen";32580;32015;32649;33137;33579;3311;2961;3033;3100;3180
"Asten";8820;8930;8896;8975;9157;1786;1787;1798;1823;1843
"Baarle-Nassau";3990;4125;4101;4132;4176;764;804;779;798;815
"Baarn";11985;12125;12162;12271;12294;1002;1045;1030;1037;1020
"Barendrecht";22710;23055;23268;23295;23561;2938;3022;3194;3050;3030
"Barneveld";27320;28095;28181;28988;29691;6328;6611;6789;7045;7161
"Beek";9390;9530;9430;9514;9521;936;887;914;979;965
"Beekdaelen";21135;21365;21328;21596;21838;2205;2255;2262;2238;2317
"Beesel";6735;6890;7020;7135;7235;672;680;661;679;666
"Berg en Dal";17670;17900;17955;18313;18613;1805;1842;1878;1892;1936
"Bergeijk";10330;10470;10596;10754;10951;1835;1924;1919;1957;2005
"Bergen (L.)";7515;7645;7664;7746;7859;1136;1155;1097;1114;1089
"Bergen (NH.)";15450;15750;15762;15877;16026;1621;1637;1633;1639;1627
"Bergen op Zoom";31435;31790;31965;32456;32876;3247;3338;3331;3394;3392
"Berkelland";23880;24240;24266;24470;24897;3158;3277;3304;3355;3487
"Bernheze";15910;16295;16391;16907;17188;3096;3168;3243;3322;3382
"Best";14850;15105;15188;15519;15661;1581;1616;1570;1602;1619
