"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2021";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2021"
"Aa en Hunze";61;418
"Aalsmeer";285;609
"Aalten";74;356
"Achtkarspelen";24;227
"Alblasserdam";90;258
"Albrandswaard";144;389
"Alkmaar";800;2753
"Almelo";180;815
"Almere";1180;17352
"Alphen aan den Rijn";776;1680
"Alphen-Chaam";28;126
"Altena";145;770
"Ameland";20;233
"Amersfoort";1256;14332
"Amstelveen";1046;1990
"Amsterdam";7983;23863
"Apeldoorn";759;2461
"Arnhem";985;2221
"Assen";225;820
"Asten";35;220
"Baarle-Nassau";13;64
"Baarn";63;491
"Barendrecht";385;775
"Barneveld";330;925
"Beek";56;133
"Beekdaelen";47;343
"Beesel";8;97
"Berg en Dal";91;455
"Bergeijk";29;235
"Bergen (L.)";36;147
"Bergen (NH.)";196;509
"Bergen op Zoom";250;716
"Berkelland";63;497
"Bernheze";71;401
"Best";194;391
"Beuningen";42;310
"Beverwijk";137;503
"Bladel";55;323
"Blaricum";49;260
"Bloemendaal";102;507
"Bodegraven-Reeuwijk";182;591
"Boekel";20;154
"Borger-Odoorn";53;308
"Borne";45;231
"Borsele";83;543
"Boxtel";128;369
"Breda";1197;18151
"Bronckhorst";68;694
"Brummen";40;293
"Brunssum";39;151
"Bunnik";128;356
"Bunschoten";65;274
"Buren";28;473
"Capelle aan den IJssel";463;961
"Castricum";218;519
"Coevorden";38;355
"Cranendonck";36;244
"Culemborg";237;394
"Dalfsen";53;344
"Dantumadiel";12;127
"De Bilt";196;762
"De Fryske Marren";87;731
"De Ronde Venen";254;807
"De Wolden";53;268
"Delft";666;1174
"Den Haag";4544;10187
"Den Helder";176;505
"Deurne";73;350
"Deventer";396;1502
"Diemen";213;333
"Dijk en Waard";326;1195
"Dinkelland";46;536
"Doesburg";14;144
"Doetinchem";119;1002
"Dongen";77;304
"Dordrecht";618;2731
"Drechterland";25;265
"Drimmelen";67;320
"Dronten";129;667
"Druten";45;228
"Duiven";223;391
"Echt-Susteren";49;324
"Edam-Volendam";107;572
"Ede";548;1918
"Eemnes";82;163
"Eemsdelta";62;403
"Eersel";108;387
"Eijsden-Margraten";31;251
"Eindhoven";1306;3532
"Elburg";51;268
"Emmen";286;866
"Enkhuizen";62;173
"Enschede";430;1495
"Epe";84;454
"Ermelo";100;338
"Etten-Leur";152;489
"Geertruidenberg";108;281
"Geldrop-Mierlo";117;651
"Gemert-Bakel";65;450
"Gennep";56;200
"Gilze en Rijen";87;325
"Goeree-Overflakkee";373;717
"Goes";228;923
"Goirle";54;259
