"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2020";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2020"
"Aa en Hunze";15;270
"Aalsmeer";221;426
"Aalten";29;259
"Achtkarspelen";17;160
"Alblasserdam";55;193
"Albrandswaard";112;285
"Alkmaar";618;1875
"Almelo";140;569
"Almere";791;12272
"Alphen aan den Rijn";652;1213
"Alphen-Chaam";19;89
"Altena";128;510
"Ameland";16;138
"Amersfoort";989;11011
"Amstelveen";804;1143
"Amsterdam";6856;16446
"Apeldoorn";593;2682
"Arnhem";844;1679
"Assen";163;571
"Asten";22;149
"Baarle-Nassau";8;47
"Baarn";52;289
"Barendrecht";314;517
"Barneveld";259;687
"Beek";37;103
"Beekdaelen";37;225
"Beesel";10;64
"Berg en Dal";61;340
"Bergeijk";17;174
"Bergen (L.)";27;89
"Bergen (NH.)";115;360
"Bergen op Zoom";205;465
"Berkelland";49;355
"Bernheze";47;294
"Best";198;284
"Beuningen";42;237
"Beverwijk";112;337
"Bladel";46;218
"Blaricum";42;210
"Bloemendaal";97;379
"Bodegraven-Reeuwijk";144;396
"Boekel";21;121
"Borger-Odoorn";34;210
"Borne";26;177
"Borsele";43;356
"Boxtel";107;274
"Breda";987;13555
"Bronckhorst";46;542
"Brummen";26;188
"Brunssum";25;99
"Bunnik";137;285
"Bunschoten";35;183
"Buren";24;337
"Capelle aan den IJssel";316;710
"Castricum";153;394
"Coevorden";25;235
"Cranendonck";17;167
"Culemborg";163;278
"Dalfsen";46;247
"Dantumadiel";12;83
"De Bilt";158;613
"De Fryske Marren";60;471
"De Ronde Venen";154;595
"De Wolden";38;175
"Delft";454;864
"Den Haag";3533;6928
"Den Helder";106;329
"Deurne";61;225
"Deventer";346;1149
"Diemen";116;239
"Dijk en Waard";230;866
"Dinkelland";30;384
"Doesburg";12;111
"Doetinchem";91;730
"Dongen";54;214
"Dordrecht";477;1854
"Drechterland";22;185
"Drimmelen";54;233
"Dronten";95;466
"Druten";36;157
"Duiven";120;295
"Echt-Susteren";39;212
"Edam-Volendam";94;446
"Ede";406;1324
"Eemnes";62;122
"Eemsdelta";36;265
"Eersel";103;275
"Eijsden-Margraten";27;170
"Eindhoven";1008;2449
"Elburg";35;175
"Emmen";138;525
"Enkhuizen";48;118
"Enschede";346;1007
"Epe";46;323
"Ermelo";69;238
"Etten-Leur";128;339
"Geertruidenberg";81;200
"Geldrop-Mierlo";87;441
"Gemert-Bakel";37;293
"Gennep";29;151
"Gilze en Rijen";72;237
"Goeree-Overflakkee";218;522
"Goes";151;653
"Goirle";43;183
"Gooise Meren";325;803
