Datum,Access type,Power type,Municipality,Province,Aantal_Sum
2019-07-31,Publiek,Regulier,'s-Hertogenbosch,Noord-Brabant,351
2019-07-31,Publiek,Regulier,Aa en Hunze,Drenthe,2
2019-07-31,Publiek,Regulier,Aalsmeer,Noord-Holland,102
2019-07-31,Publiek,Regulier,Aalten,Gelderland,6
2019-07-31,Publiek,Regulier,Achtkarspelen,Friesland,8
2019-07-31,Publiek,Regulier,Alblasserdam,Zuid-Holland,38
2019-07-31,Publiek,Regulier,Albrandswaard,Zuid-Holland,74
2019-07-31,Publiek,Regulier,Alkmaar,Noord-Holland,200
2019-07-31,Publiek,Regulier,Almelo,Overijssel,16
2019-07-31,Publiek,Regulier,Almere,Flevoland,317
2019-07-31,Publiek,Regulier,Alphen aan den Rijn,Zuid-Holland,294
2019-07-31,Publiek,Regulier,Alphen-Chaam,Noord-Brabant,3
2019-07-31,Publiek,Regulier,Altena,Noord-Brabant,46
2019-07-31,Publiek,Regulier,Ameland,Friesland,6
2019-07-31,Publiek,Regulier,Amersfoort,Utrecht,368
2019-07-31,Publiek,Regulier,Amstelveen,Noord-Holland,310
2019-07-31,Publiek,Regulier,Amsterdam,Noord-Holland,2748
2019-07-31,Publiek,Regulier,Apeldoorn,Gelderland,169
2019-07-31,Publiek,Regulier,Arnhem,Gelderland,413
2019-07-31,Publiek,Regulier,Assen,Drenthe,13
2019-07-31,Publiek,Regulier,Asten,Noord-Brabant,4
2019-07-31,Publiek,Regulier,Baarn,Utrecht,16
2019-07-31,Publiek,Regulier,Barendrecht,Zuid-Holland,183
2019-07-31,Publiek,Regulier,Barneveld,Gelderland,79
2019-07-31,Publiek,Regulier,Beek,Limburg,2
2019-07-31,Publiek,Regulier,Beekdaelen,Limburg,10
2019-07-31,Publiek,Regulier,Beesel,Limburg,4
2019-07-31,Publiek,Regulier,Berg en Dal,Gelderland,10
2019-07-31,Publiek,Regulier,Bergeijk,Noord-Brabant,6
2019-07-31,Publiek,Regulier,Bergen (L.),Limburg,13
