Municipality,2019,2020,2021
's-Hertogenbosch,4364.0,9010.0,12632.0
Aa en Hunze,101.0,125.0,281.0
Aalsmeer,1096.0,2432.0,3103.0
Aalten,79.0,290.0,515.0
Achtkarspelen,96.0,166.0,233.0
Alblasserdam,310.0,603.0,913.0
Albrandswaard,644.0,1305.0,1646.0
Alkmaar,2907.0,6975.0,8909.0
Almelo,623.0,1485.0,2040.0
Almere,3736.0,8470.0,11658.0
Alphen aan den Rijn,2596.0,6371.0,8955.0
Alphen-Chaam,43.0,182.0,254.0
Altena,538.0,1234.0,1736.0
Ameland,96.0,119.0,255.0
Amersfoort,3830.0,9412.0,14200.0
Amstelveen,2855.0,7904.0,11387.0
Amsterdam,28618.0,66350.0,92206.0
Apeldoorn,2715.0,6137.0,8283.0
Arnhem,3794.0,9506.0,11423.0
Assen,573.0,1330.0,2491.0
Asten,58.0,210.0,397.0
Baarle-Nassau,44.0,76.0,141.0
Baarn,296.0,535.0,700.0
Barendrecht,1706.0,3833.0,4405.0
Barneveld,1204.0,2862.0,3702.0
Beek,200.0,450.0,604.0
Beekdaelen,180.0,405.0,505.0
Beesel,56.0,63.0,124.0
Berg en Dal,282.0,633.0,888.0
Bergeijk,54.0,120.0,249.0
Bergen (L.),144.0,294.0,408.0
Bergen (NH.),580.0,1283.0,1854.0
Bergen op Zoom,960.0,2279.0,2679.0
Berkelland,186.0,486.0,634.0
Bernheze,305.0,518.0,758.0
Best,490.0,1396.0,2387.0
Beuningen,214.0,430.0,498.0
Beverwijk,633.0,1295.0,1540.0
Bladel,173.0,367.0,529.0
Blaricum,218.0,469.0,509.0
Bloemendaal,338.0,919.0,1173.0
Bodegraven-Reeuwijk,442.0,1211.0,1995.0
Boekel,100.0,255.0,248.0
Borger-Odoorn,96.0,256.0,555.0
Borne,115.0,280.0,525.0
Borsele,195.0,384.0,791.0
Boxtel,518.0,960.0,1463.0
Breda,3713.0,9401.0,13346.0
Bronckhorst,203.0,505.0,706.0
Brummen,130.0,296.0,452.0
Brunssum,136.0,300.0,386.0
Bunnik,579.0,1363.0,1611.0
Bunschoten,184.0,328.0,660.0
Buren,144.0,237.0,324.0
Capelle aan den IJssel,1341.0,3392.0,4894.0
Castricum,642.0,1549.0,2244.0
Coevorden,130.0,265.0,377.0
Cranendonck,135.0,247.0,364.0
Culemborg,497.0,1661.0,2197.0
Dalfsen,248.0,505.0,644.0
Dantumadiel,82.0,146.0,142.0
De Bilt,908.0,1938.0,2124.0
De Fryske Marren,248.0,519.0,847.0
De Ronde Venen,833.0,1675.0,2648.0
De Wolden,135.0,403.0,574.0
Delft,2112.0,4682.0,7122.0
Den Haag,15730.0,36914.0,49553.0
Den Helder,522.0,1098.0,1751.0
Deurne,228.0,512.0,782.0
Deventer,1563.0,3487.0,4639.0
Diemen,994.0,1732.0,2179.0
Dijk en Waard,1163.0,2607.0,3409.0
Dinkelland,166.0,308.0,432.0
Doesburg,76.0,144.0,156.0
Doetinchem,364.0,902.0,1221.0
Dongen,268.0,605.0,717.0
Dordrecht,2229.0,4811.0,6734.0
Drechterland,105.0,248.0,313.0
Drimmelen,252.0,555.0,717.0
Dronten,435.0,1035.0,1337.0
Druten,219.0,392.0,485.0
Duiven,425.0,875.0,1974.0
Echt-Susteren,188.0,442.0,518.0
Edam-Volendam,491.0,1048.0,1257.0
Ede,1945.0,4279.0,5858.0
Eemnes,295.0,642.0,919.0
Eemsdelta,129.0,352.0,643.0
Eersel,469.0,1101.0,1327.0
Eijsden-Margraten,169.0,303.0,379.0
Eindhoven,4787.0,10971.0,13800.0
Elburg,175.0,320.0,557.0
Emmen,483.0,1375.0,2599.0
Enkhuizen,206.0,551.0,888.0
Enschede,1331.0,3447.0,5065.0
Epe,154.0,484.0,1033.0
Ermelo,264.0,743.0,1001.0
Etten-Leur,555.0,1270.0,1736.0
Geertruidenberg,362.0,817.0,1202.0
Geldrop-Mierlo,272.0,805.0,1285.0
